date,category,value,amount
2024-01-01,Электроника,105.34,21
2024-01-01,Одежда,82.17,4
2024-01-01,Книги,49.81,1
2024-01-02,Электроника,108.92,24
2024-01-02,Одежда,76.45,9
2024-01-02,Книги,51.23,8
2024-01-03,Электроника,112.56,8
2024-01-03,Одежда,79.88,5
2024-01-03,Книги,48.67,24
2024-01-04,Электроника,115.43,4
2024-01-04,Одежда,85.12,22
2024-01-04,Книги,52.09,24
2024-01-05,Электроника,120.78,18
2024-01-05,Одежда,91.34,3
2024-01-05,Книги,53.45,19
2024-01-06,Электроника,125.67,14
2024-01-06,Одежда,88.91,2
2024-01-06,Книги,49.78,1
2024-01-07,Электроника,118.23,3
2024-01-07,Одежда,82.45,7
2024-01-07,Книги,50.12,8
2024-01-08,Электроника,122.89,17
2024-01-08,Одежда,79.67,20
2024-01-08,Книги,51.89,1
2024-01-09,Электроника,128.54,18
2024-01-09,Одежда,85.23,7
2024-01-09,Книги,52.34,23
2024-01-10,Электроника,131.23,21
2024-01-10,Одежда,87.78,23
2024-01-10,Книги,53.12,18
2024-01-11,Электроника,135.67,14
2024-01-11,Одежда,92.45,8
2024-01-11,Книги,54.89,15
2024-01-12,Электроника,138.91,19
2024-01-12,Одежда,89.12,9
2024-01-12,Книги,55.23,26
2024-01-13,Электроника,142.34,1
2024-01-13,Одежда,94.56,25
2024-01-13,Книги,56.78,26
2024-01-14,Электроника,145.89,6
2024-01-14,Одежда,88.34,23
2024-01-14,Книги,57.45,14
2024-01-15,Электроника,150.12,11
2024-01-15,Одежда,96.78,9
2024-01-15,Книги,58.91,5
2024-01-16,Электроника,153.45,7
2024-01-16,Одежда,99.23,25
2024-01-16,Книги,59.34,11
2024-01-17,Электроника,157.89,4
2024-01-17,Одежда,101.56,3
2024-01-17,Книги,60.12,13
2024-01-18,Электроника,101.2,23
2024-01-18,Одежда,91.98,2
2024-01-18,Книги,57.7,15
2024-01-19,Электроника,136.89,16
2024-01-19,Одежда,87.94,24
2024-01-19,Книги,54.37,17
2024-01-20,Электроника,110.29,4
2024-01-20,Одежда,103.2,8
2024-01-20,Книги,52.15,15
2024-01-21,Электроника,155.99,1
2024-01-21,Одежда,92.83,15
2024-01-21,Книги,57.54,16
2024-01-22,Электроника,152.93,10
2024-01-22,Одежда,86.04,18
2024-01-22,Книги,52.77,7
2024-01-23,Электроника,156.96,1
2024-01-23,Одежда,91.37,6
2024-01-23,Книги,56.3,1
2024-01-24,Электроника,154.41,17
2024-01-24,Одежда,91.1,8
2024-01-24,Книги,59.36,15
2024-01-25,Электроника,147.92,7
2024-01-25,Одежда,86.11,25
2024-01-25,Книги,58.73,17
2024-01-26,Электроника,125.65,16
2024-01-26,Одежда,87.04,2
2024-01-26,Книги,56.97,11
2024-01-27,Электроника,143.64,15
2024-01-27,Одежда,83.54,7
2024-01-27,Книги,58.44,18
2024-01-28,Электроника,148.23,12
2024-01-28,Одежда,84.8,19
2024-01-28,Книги,49.35,24
2024-01-29,Электроника,147.37,24
2024-01-29,Одежда,94.27,17
2024-01-29,Книги,50.67,11
2024-01-30,Электроника,131.47,20
2024-01-30,Одежда,87.12,11
2024-01-30,Книги,57.02,18
2024-01-31,Электроника,143.87,13
2024-01-31,Одежда,99.73,21
2024-01-31,Книги,55.68,8
2024-02-01,Электроника,137.35,22
2024-02-01,Одежда,83.26,17
2024-02-01,Книги,51.92,5
2024-02-02,Электроника,126.82,17
2024-02-02,Одежда,92.9,7
2024-02-02,Книги,60.61,1
2024-02-03,Электроника,124.65,21
2024-02-03,Одежда,83.89,2
2024-02-03,Книги,56.23,25
2024-02-04,Электроника,139.25,16
2024-02-04,Одежда,83.69,11
2024-02-04,Книги,56.68,15
2024-02-05,Электроника,152.83,5
2024-02-05,Одежда,98.58,22
2024-02-05,Книги,56.8,13
2024-02-06,Электроника,132.35,9
2024-02-06,Одежда,83.94,12
2024-02-06,Книги,60.83,22
2024-02-07,Электроника,115.21,12
2024-02-07,Одежда,77.95,7
2024-02-07,Книги,57.86,19
2024-02-08,Электроника,149.21,23
2024-02-08,Одежда,103.51,20
2024-02-08,Книги,54.56,10
2024-02-09,Электроника,89.31,24
2024-02-09,Одежда,100.02,21
2024-02-09,Книги,61.4,20
2024-02-10,Электроника,122.28,14
2024-02-10,Одежда,96.83,24
2024-02-10,Книги,57.36,21
2024-02-11,Электроника,135.24,14
2024-02-11,Одежда,78.25,3
2024-02-11,Книги,57.93,9
2024-02-12,Электроника,125.31,14
2024-02-12,Одежда,90.01,10
2024-02-12,Книги,63.14,13
2024-02-13,Электроника,112.92,6
2024-02-13,Одежда,101.06,20
2024-02-13,Книги,52.13,3
2024-02-14,Электроника,145.57,4
2024-02-14,Одежда,94.4,16
2024-02-14,Книги,57.05,13
2024-02-15,Электроника,120.76,11
2024-02-15,Одежда,91.85,1
2024-02-15,Книги,54.02,19
2024-02-16,Электроника,130.46,3
2024-02-16,Одежда,86.92,7
2024-02-16,Книги,58.62,16
2024-02-17,Электроника,134.35,15
2024-02-17,Одежда,100.0,8
2024-02-17,Книги,60.42,12
2024-02-18,Электроника,120.56,6
2024-02-18,Одежда,99.98,12
2024-02-18,Книги,55.43,10
2024-02-19,Электроника,119.02,24
2024-02-19,Одежда,85.25,17
2024-02-19,Книги,61.2,14
2024-02-20,Электроника,118.29,23
